Link,Year,Title,Author,Publisher,Duration,Notes,SourceType,Transparency ,Supply Chain,Policy,Public Health,Take Action,Page
https://watermark.silverchair.com/meq084.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAqQwggKgBgkqhkiG9w0BBwagggKRMIICjQIBADCCAoYGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMRjz2ErhxhtLQ4nyXAgEQgIICV9z4yxMC4aLDNU16rxzf2MQsiV4GgSLOBozWYevxuwljiUbbroauuWf3_4JKl4DgDURGqc8vryfibG274KE8748aEsqKeg74wvoI2HTu8iRnl9Up8ldUdKDzBgDiqWncOAP-xJ17zM_WkrtzOEFSmprqnq08sk6Kbx90PRF7XDh2RAbZzYTdpAojYYcvuysdcsXO_BuBHIZ8kWUf0LUC4y7AgIiBHrJhX3IcG4fpORYl00i9cxrwZ-pkWIDyuQ8W5FeHvEvUbVSwvlRQGeqLRmCP1t2fu01Han5nTuR9OtQYcYeKo3u52VTg63pntns0EeSltPRYAbeVqCFBje6RShymLDiJf0L4wAk3tI0d3sc5uZ9zcxTWY1v9bb587ObJYuOmtnIYzEOrYX2CGRT4oKScosIgTlALvgK6PKfqu9XmfrTob2mpCySgyoWfY0LrCkiNvN1IAY9obkQrM1ZIIN_1ttU8XcP6dp853UBYv8ZixCI6njjW2PW4cgEsrD036cinPfO1QzLA69KMwyEy1DRf4lXCxVL9Fy4mBh6hoZIyihNnW3fOysuBAKbshYGI0m8mEob5pfsKChK1OlSI1j_RBfmjl4wPBDCmbNpFQa08zHl5HjezZgPGE8QKbMTiF30cFIC5VU4lfR48um1f6b8xuuO4Ogook8Y5DsPESFz1HHkeVbfuJIXzwB1LQ6hDq2YBb1-xPe7UAd7pgff2yBmXNHbYsjKgnycTOgkaddjac4R84kOlqCii8OBRBTjC6LpzwfCJEz6P0RzrF9TdH7DGPdHJ_tfS,2010,Exposure to Dust and Endotoxin in Texstile Processing Workers,Paudyal et al,annals of occupational hygene,5m,,Aca,,1,,1,,SC2
,2018,Textile allergic contact dermatitis caused by occupational exposure – An overlooked condition,Pinheiro et al,Contact Dermatitis,10m,need link,Aca,,1,,1,,SC2
https://med.nyu.edu/pophealth/sites/default/files/pophealth/QACs%20Info%20for%20Physicians_18.pdf,,QACs in cleaning products,NYU,NYU,10m,,Edu,,,,1,,SC2
,,,,,,,,,,,,,
https://ota.com/advocacy/fiber-and-textiles/policy-advocacy-updates#GOTS,2020,Policy & Advocacy Updates,Organic Trade Association,Organic Trade Association,5m,,News/Event/Dated,1,1,1,,,SC3
https://www.global-standard.org/licensing-and-labelling/how-to-get-products-labelled.html,2020,How to get products labelled,GOTS,GOTS,5m,,Edu,1,1,1,,,SC3
,,,,,,,,,,,,,
https://textclothsustain.springeropen.com/articles/10.1186/s40689-017-0027-8,2017,Contribution of traceability towards attaining sustainability in the textile sector,Kumar et al,Textiles and Clothing Sustainability,10m,,Aca,1,1,,,,HIDE
https://cen.acs.org/business/consumer-products/new-textile-dyeing-methods-make/96/i29?PageSpeed=noscript,2018,These new textile dyeing methods could make fashion more sustainable,Bomgardner,C&EN,5m,,News/Event/Dated,,1,,,,HIDE
https://www.fashionrevolution.org/about/transparency/,2020,Fashion Transparency Index 2020,Fashion Revolution,Fashion Revolution,10m,,News/Event/Dated,1,1,,,,HIDE
,,,,,,,,,,,,,
,2004,Diagnosis and Treatment of Dermatitis Due to Formaldehyde Resins in Clothing,Carlson et al,Dermatitis,10m,need link,Aca,,,,1,,HIDE
,2014,Textile allergic contact dermatitis: current status,Coman et al,Rev Environ Health,5m,need link,Aca,,,,1,,HIDE
https://insights.ovid.com/crossref?an=01206501-201609000-00009,2016,The Association of Race/Ethnicity and Patch Test Results: North American Contact Dermatitis Group 1998-2006,Deleo et al,Dermatitis,5m,,Aca,,,,1,,HIDE
https://www.jacionline.org/article/S0091-6749(16)30011-2/abstract,2016,A work group report on ultrafine particles: Why ambient ultrafine and engineered nanoparticles should receive special attention for possible adverse health outcomes in human subjects,Li et al,Journal of Allergy and clinical Immunology,10m,,Aca,,,,1,,HIDE
https://onlinelibrary.wiley.com/doi/full/10.1111/cod.12001,2013,Contact allergy from disperse dyes in textiles – a review,Malinauskiene et al,Contact Dermatits,10m,,Aca,,,,1,,HIDE
,2017,Allergic contact dermatitis caused by textile dyes mimicking atopic dermatitis,Mohamoud et al,Contact Dermatits,5m,need link,Aca,,,,1,,HIDE
,2018,Textile and Shoe Allergic Contact Dermatitis in Military Personnel,Slodownik et al,American Contact Dermatitis Society,5m,need link,Aca,,,,1,,HIDE
https://www.ramex.com/title.asp?id=1881&pid=24040,2020,Title details: Patty's Toxicology,rAmEx Ars Medica, RamEx Ars Medica,5m,,Aca,,,,1,,HIDE
https://onlinelibrary.wiley.com/doi/full/10.1111/j.1600-0536.2007.01220.x,2007,The epidemielogy of contact allergy in the general population – prevalence and main findings,Thyssen et al,Contact Dermatits,10m,,Aca,,,,1,,HIDE
https://www.scientificamerican.com/article/flame-retardant-fertility-pregnancy-pbde/,2010,Scientists link flame retardants and reduced human fertility,Cone,Scientific American,5m,,News/Event/Dated,,,,1,,HIDE
https://therealnews.com/new-poison-papers-leak-epa-knew-about-many-dangerous-toxins-but-kept-quiet,2018,"New “poison Papers' Leak: EPA Knew about many danerous toxins, but kept quiet",Lascaris,The Real News,10m,,News/Event/Dated,1,,,1,,HIDE
https://publications.jrc.ec.europa.eu/repository/bitstream/JRC36150/6150%20-%20HCHO_survey_final_report.pdf,2007,European survey on the release of formaldehyde from textiles,Piccinini et al,European Commiion,30m,,News/Event/Dated,,,,1,,HIDE
https://www.nytimes.com/2010/12/11/your-money/11wrinkle.html,,When Wrinkle-Free Clothing also Means Formaldehyde Fumes,Siegel Bernard,NYT,10m,,News/Event/Dated,,1,,1,,HIDE
https://silentspring.org/news/high-levels-toxic-flame-retardant-chemicals-found-dust-inside-college-classrooms,2020,High levels of toxic flame retardant chemicals found in dust inside college classrooms,Silent Sprint Institute,Silent Spring Institute,5m,,News/Event/Dated,,,,1,,HIDE
https://www.gao.gov/new.items/d10875.pdf,2010,"While Levels in Clothing Generally Appear to be low, allergic contact dermatitis is a health issue for some people",US GAO,US GAO,60m,,News/Event/Dated,,,1,1,,HIDE
